3793,"У меня сделаны на всех дверях со стороны коридора крючки наверху, чтобы ребенок не мог ходить в помещение, когда я не хочу.. И все, кухня в безопасности и мусор тоже
"
3287,"прирост в молоке миниум 15-20 .Это былоу пионера систем добровольного деонияа в России Александра Саяпина.На своей первой ферме он собирал коров поасюду.И они от 4 тонн в год после доения роботом подняли продуктивность до 5-6 тонн молока в год.
"
4091,"Сохраните, раз нашли) лет через 100 это станет историей, интересной многим
"
10432,"Да ладно тебе. Чуть что сразу модератор
"
14132,"Реальная фамилия Шульженок. Лол, опять хохлы заливают.
"
12104,"А когда я был Диджеем.Меня девчонки просили записать группу Мини Макси и Девки.Бумажка к сожалению не сохранилась...92 год по моему шел.
"
907,"геев и анимешниц Было бы круто, если бы это было так, а в основном нацики это подкаченные полухачи полужиды типо пейсака.
"
4427,"норвежские кирпичные дома постройки 18 века так очевидно как текст поста не гуглятся. Однако, вполне возможно влияние дании на этот счет, они как раз воевали в 18м веке. Насчет других стран - у всех свое видение богатства.
"
313,"именно, ты, сука, просто не понимаешь - в нашей семье кто то все время в разездах
"
8022,"А дорогою хню через ТК разве не дешевле? Мне доставка сварочника по СПБ дороже стоила, чем из РнД, в два раза.
"
5775,"Посмотри любой мотиватор к богатству ТАМ ГОВОРЯТ НЕ БОЙТЕСЬ РИСКОВАТЬ СТАВЬТЕ НА КОН ВСЕ ЧТО ЕСТЬ И РАЗБОГАТЕЕТЕ, РОДИТЕЛИ МАЖОРА НЕ ЗАССАЛИ ПОСТАВИТЬ НА КОН СВОЮ СВОБОДУ ИЛИ ДЕНЬГИ ИЛИ СВОИ ДЫРОЧКИ НЕ ЗНАЮ ЧТО БЫ ПОПЫТАТЬСЯ ПОДНЯТЬ ПАРУ ЛЯМ И ИХ ВЛОЖИТЬ В БИЗНЕС В ИДЕАЛЕ ПАССИВНЫЙ И БОГАТЕТЬ, А ЕЩЕ ТУПОРЫЛЫЕ ДЕРЖАТ ДЕНЬГИ ПОД МАТРОСОМ И ИХ СЪЕДАЕТ ИНФЛЯЦИЯ,(ПРИМЕР НА 1000 РУБ МОГ КУПИТЬ 1000 ЖВАЧЕ, А ЧЕРЕЗ МЕСЯЦ НА ТЕ ЖЕ 1000 РУБ ТОЛЬКО 960 ШТУК ПОЧЕМУ ? ПОТОМУ ЧТО 4 В МЕСЯЦ ИНФЛЯЦИЯ) И БОГАТЫЕ ДЕНЬГИ ДЕРЖАТ В РАБОТЕ ЧТО БЫ ОНИ РАБОТАЛИ БАНКОВСКИЙ ВЛАД В РАШКЕ ОСОБЕННО ХУЙНЯ ВЫЙГРЫШ ТОЛЬКО 1 ИЛИ 3 В ИДЕЛЕ, ЧТО МАЛО ВЕДЬ В РФ В СРЕДНЕМ ПРОЦЕНТ ПО ВКЛАДАМ 8 - 4 ИНФЛЯЦИИ В ГОД ПОСЛЕ 4 ГОДОВЫХ ЧИСТЫМИ - 1 С НАТЕКШЕГО КАК НАЛОГ И КОМИССИИ 3 ДОХОДА ГОДОВЫХ В ИДЕАЛЕ ПРИМЕР 1 000 000 ВКЛАДА ПОД 3 ГОДОВЫХ ЭТО НАБЕЖИТ ВСЕГО 30 000 РУБ ЗА ГОД БЛЯДЬ, ИЛИ 2 500 В МЕСЯЦ, АХАХАХА КАРОЧЕ БАНКОВСКИЕ ВКЛАДЫ ХУЙНЯ КУПИ НА 1 000 000 РУБ ФЛЕШЕК С КИТАЯ ПО 100 РУБ ЗА ШТУКУ И ПРОДАЙ ЗА 500 РУБЛЕЙ И ТОГО 5 000 000 РУБ ЧИСТЫМИ С ЭТОГО ДЕЛА ИЛИ 416 666 РУБ В МЕСЯЦ ИЛИ 13 888 В ДЕНЬ, ТЫ МОЖЕШЬ ТАК СТАТЬ ОЛИГАРХОМ ТОЖЕ ЕПТА.
"
2238,"Праваки же говна залили.
"
8739,"Дважды я забывал водительское в другой куртке. И дважды меня останавливал один и тот же гаец. И дважды выписывал штраф. Дважды пробивал меня по базе. И дважды отпускал с постановлением на все 4 стороны. Ни о какой штрафстоянке речи не шло.
"
2190,"Канада пристанище куколдов хохлов, не удивительно что они рашку хейтят.
"
4294,"Кстати про понты модниц, лет 20-30 вроде назад делали недешёвые серьги-аквариумы с крохотными рыбками внутри. Типа кубик 1 1 см с плавающей в нем рыбкой (недолго думаю) внутри.
"
